sample_id,asv_id,health,n_reads,rclr
2016_S_SB_D_250,ASV428,D,0,0
2016_S_SB_D_250,ASV430,D,0,0
2016_S_SB_D_250,ASV431,D,0,0
2016_S_SB_D_250,ASV434,D,1,-1.303092236464901
2016_S_SB_D_250,ASV436,D,0,0
2016_S_SB_D_250,ASV437,D,0,0
2016_S_SB_D_250,ASV439,D,0,0
2016_S_SB_D_250,ASV441,D,0,0
2016_S_SB_D_250,ASV442,D,0,0
2016_S_SB_D_250,ASV445,D,0,0
2016_S_SB_D_250,ASV449,D,0,0
2016_S_SB_D_250,ASV453,D,0,0
2016_S_SB_D_250,ASV454,D,0,0
2016_S_SB_D_250,ASV456,D,0,0
2016_S_SB_D_250,ASV457,D,0,0
2016_S_SB_D_250,ASV458,D,0,0
2016_S_SB_D_250,ASV462,D,0,0
2016_S_SB_D_250,ASV468,D,1,-1.303092236464901
2016_S_SB_D_250,ASV474,D,0,0
2016_S_SB_D_250,ASV476,D,0,0
2016_S_SB_D_250,ASV477,D,0,0
2016_S_SB_D_250,ASV478,D,0,0
2016_S_SB_D_250,ASV480,D,0,0
2016_S_SB_D_250,ASV484,D,0,0
2016_S_SB_D_250,ASV490,D,0,0
2016_S_SB_D_250,ASV493,D,0,0
2016_S_SB_D_250,ASV494,D,0,0
2016_S_SB_D_250,ASV496,D,0,0
2016_S_SB_D_250,ASV497,D,0,0
2016_S_SB_D_250,ASV498,D,0,0
2016_S_SB_D_250,ASV499,D,0,0
2016_S_SB_D_250,ASV500,D,0,0
2016_S_SB_D_250,ASV501,D,0,0
2016_S_SB_D_250,ASV504,D,0,0
2016_S_SB_D_250,ASV505,D,0,0
2016_S_SB_D_250,ASV506,D,0,0
2016_S_SB_D_250,ASV507,D,0,0
2016_S_SB_D_250,ASV512,D,0,0
2016_S_SB_D_250,ASV513,D,0,0
2016_S_SB_D_250,ASV515,D,0,0
2016_S_SB_D_250,ASV518,D,0,0
2016_S_SB_D_250,ASV519,D,0,0
2016_S_SB_D_250,ASV520,D,0,0
2016_S_SB_D_250,ASV522,D,0,0
2016_S_SB_D_250,ASV524,D,0,0
2016_S_SB_D_250,ASV526,D,0,0
2016_S_SB_D_250,ASV532,D,0,0
2016_S_SB_D_250,ASV535,D,0,0
2016_S_SB_D_250,ASV537,D,0,0
2016_S_SB_D_250,ASV539,D,0,0
2016_S_SB_D_250,ASV543,D,0,0
2016_S_SB_D_250,ASV544,D,4,0.08320212465498966
2016_S_SB_D_250,ASV545,D,0,0
2016_S_SB_D_250,ASV548,D,0,0
2016_S_SB_D_250,ASV551,D,0,0
2016_S_SB_D_250,ASV553,D,0,0
2016_S_SB_D_250,ASV557,D,0,0
2016_S_SB_D_250,ASV558,D,0,0
2016_S_SB_D_250,ASV559,D,0,0
2016_S_SB_D_250,ASV560,D,0,0
2016_S_SB_D_250,ASV562,D,0,0
2016_S_SB_D_250,ASV564,D,0,0
2016_S_SB_D_250,ASV565,D,0,0
2016_S_SB_D_250,ASV566,D,0,0
2016_S_SB_D_250,ASV568,D,0,0
2016_S_SB_D_250,ASV575,D,0,0
2016_S_SB_D_250,ASV582,D,0,0
2016_S_SB_D_250,ASV594,D,0,0
2016_S_SB_D_250,ASV595,D,0,0
2016_S_SB_D_250,ASV599,D,0,0
2016_S_SB_D_250,ASV601,D,0,0
2016_S_SB_D_250,ASV602,D,4,0.08320212465498966
2016_S_SB_D_250,ASV603,D,0,0
2016_S_SB_D_250,ASV606,D,0,0
2016_S_SB_D_250,ASV609,D,0,0
2016_S_SB_D_250,ASV617,D,0,0
2016_S_SB_D_250,ASV620,D,0,0
2016_S_SB_D_250,ASV621,D,0,0
2016_S_SB_D_250,ASV629,D,0,0
2016_S_SB_D_250,ASV630,D,0,0
2016_S_SB_D_250,ASV635,D,2,-0.6099450559049556
2016_S_SB_D_250,ASV636,D,0,0
